well_id,latitude,longitude,inside_ms_ibge2025,declared_municipality,spatial_municipality,municipality_match,exact_coordinate_group,nearest_other_well_id,nearest_neighbor_m,coordinate_quality_status,coordinate_quality_reasons
3500022571,-19.724999999999966,-51.92833299999995,True,Inocência,Inocência,True,,3500023308,65.36,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022572,-19.73222199999998,-51.93055499999997,True,Inocência,Inocência,True,,3500023309,119.41,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022765,-20.451665999999932,-55.80472199999997,True,Aquidauana,Aquidauana,True,,3500023194,65.41,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022954,-20.46999999999997,-54.56472199999996,True,Campo Grande,Campo Grande,True,,3500045342,168.51,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023000,-18.235832999999957,-54.59027699999996,True,Pedro Gomes,Pedro Gomes,True,,3500045191,4311.45,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023010,-18.55666599999995,-54.631110999999976,True,Coxim,Coxim,True,,3500027166,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023111,-19.41916599999996,-54.95138799999995,True,Rio Negro,Rio Negro,True,,3500027222,5663.78,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027074,-22.48166699999996,-54.30611099999999,True,Jateí,Jateí,True,,3500022541,135.61,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027091,-22.267499999999927,-54.22361099999995,True,Deodápolis,Deodápolis,True,,3500072466,1363.58,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027134,-18.100555999999926,-54.559721999999965,True,Pedro Gomes,Pedro Gomes,True,,3500023028,91.77,OK,nenhuma anomalia objetiva identificada nesta etapa
3500045253,-21.515555999999947,-54.038332999999966,True,Nova Alvorada do Sul,Nova Alvorada do Sul,True,,3500071758,7968.52,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026940,-21.46222199999994,-56.11833299999995,True,Guia Lopes da Laguna,Guia Lopes da Laguna,True,,3500073846,63.55,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023389,-19.186943999999983,-51.405276999999955,True,Paranaíba,Paranaíba,True,,3500070831,215.67,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023235,-19.402499999999975,-54.58444399999996,True,São Gabriel do Oeste,São Gabriel do Oeste,True,EXACT_COORD_0008,3500023235,0.0,REVIEW,coordenada idêntica compartilhada por IDs distintos
3500023157,-22.948054999999954,-55.62861099999998,True,Aral Moreira,Aral Moreira,True,,3500023160,569.27,OK,nenhuma anomalia objetiva identificada nesta etapa
3500073629,-20.981785999999943,-56.516074999999944,True,Bonito,Bonito,True,,3500030618,4677.19,OK,nenhuma anomalia objetiva identificada nesta etapa
3500067386,-20.551943999999935,-54.519721999999945,True,Campo Grande,Campo Grande,True,,3500022520,955.1,OK,nenhuma anomalia objetiva identificada nesta etapa
3500067388,-19.87833299999994,-53.98611099999994,True,Bandeirantes,Bandeirantes,True,,3500072340,10335.87,OK,nenhuma anomalia objetiva identificada nesta etapa
3500067494,-19.874721999999963,-54.120555999999965,True,Bandeirantes,Bandeirantes,True,,3500072606,13334.37,OK,nenhuma anomalia objetiva identificada nesta etapa
