well_id,municipality,aquifer,depth_m,source,evidence_code,latitude,longitude
3500026970,São Gabriel do Oeste,Serra geral,80.0,SIAGAS_MS_20260814,E02,-19.30583299999995,-54.52472199999994
3500026938,Nova Andradina,Serra geral,100.0,SIAGAS_MS_20260814,E02,-22.288332999999966,-53.383332999999936
3500026972,Chapadão do Sul,Bauru,100.0,SIAGAS_MS_20260814,E02,-18.735832999999957,-52.73999999999995
3500027094,Dourados,Serra geral,60.0,SIAGAS_MS_20260814,E02,-22.225832999999966,-54.79249999999996
3500027313,Aral Moreira,Serra geral,150.0,SIAGAS_MS_20260814,E02,-23.02361099999996,-55.58555599999994
3500023150,Amambai,Guarani,140.0,SIAGAS_MS_20260814,E02,-23.09944399999995,-55.24166599999995
3500023136,Laguna Carapã,Serra geral,150.0,SIAGAS_MS_20260814,E02,-22.73222199999998,-55.24222199999997
3500023237,São Gabriel do Oeste,Guarani,135.0,SIAGAS_MS_20260814,E02,-19.25194399999998,-54.32638799999995
3500023244,Camapuã,Guarani,136.0,SIAGAS_MS_20260814,E02,-19.53416599999997,-54.03333299999997
3500023245,Camapuã,Guarani,110.0,SIAGAS_MS_20260814,E02,-19.561387999999965,-54.038610999999946
3500023236,São Gabriel do Oeste,Guarani,83.0,SIAGAS_MS_20260814,E02,-19.402221999999938,-54.58472199999994
3500023343,Nioaque,Guarani,86.0,SIAGAS_MS_20260814,E02,-21.16999999999996,-55.863887999999974
3500023379,Glória de Dourados,Bauru,82.2,SIAGAS_MS_20260814,E02,-22.406110999999953,-54.23638799999998
3500045606,Caarapó,Guarani,722.0,SIAGAS_MS_20260814,E02,-22.61861099999993,-54.69027799999998
3500022488,Campo Grande,Serra geral,168.0,SIAGAS_MS_20260814,E02,-20.48361099999994,-54.75861099999997
3500022506,Campo Grande,Serra geral,106.0,SIAGAS_MS_20260814,E02,-20.51499999999993,-54.62527699999998
3500022996,Camapuã,Guarani,120.0,SIAGAS_MS_20260814,E02,-19.01472199999995,-53.90083299999998
3500065092,Bandeirantes,Serra geral,90.0,SIAGAS_MS_20260814,E02,-19.91999999999996,-54.35388899999998
3500065093,Bandeirantes,Serra geral,96.0,SIAGAS_MS_20260814,E02,-19.926110999999935,-54.36888899999997
3500065126,São Gabriel do Oeste,Guarani,63.0,SIAGAS_MS_20260814,E02,-19.403888999999936,-54.58499999999998
3500065130,Jardim,Serra geral,134.1,SIAGAS_MS_20260814,E02,-21.58499999999998,-56.214999999999975
3500026837,Aparecida do Taboado,Bauru,52.0,SIAGAS_MS_20260814,E02,-20.144999999999982,-51.143888999999945
